;"referenceName";"vernacularName";"type";"family"
;"Accipiter bicolor (Vieillot, 1817)";"Épervier bicolore";"Accipitriformes";"Accipitridae"
;"Accipiter cooperii (Bonaparte, 1828)";"Épervier de Cooper";"Accipitriformes";"Accipitridae"
;"Accipiter efficax Balouet & Olson, 1989";;"Accipitriformes";"Accipitridae"
;"Accipiter fasciatus (Vigors & Horsfield, 1826)";;"Accipitriformes";"Accipitridae"
;"Accipiter fasciatus vigilax (Wetmore, 1926)";"Autour australien, Émouchet gris";"Accipitriformes";"Accipitridae"
;"Accipiter francesii A. Smith, 1834";"Épervier de Mayotte";"Accipitriformes";"Accipitridae"
;"Accipiter francesii brutus (Schlegel, 1866)";"Épervier de Frances";"Accipitriformes";"Accipitridae"
;"Accipiter gentilis (Linnaeus, 1758)";"Autour des palombes";"Accipitriformes";"Accipitridae"
;"Accipiter gentilis arrigonii (Kleinschmidt, 1903)";"Autour des palombes (ssp. de Corse)";"Accipitriformes";"Accipitridae"
;"Accipiter gentilis gentilis (Linnaeus, 1758)";;"Accipitriformes";"Accipitridae"
;"Accipiter haplochrous P. L. Sclater, 1859";"Autour à ventre blanc, Émouchet bleu, Épervier à ventre blanc, Buse blanche, Buse";"Accipitriformes";"Accipitridae"
;"Accipiter nisus (Linnaeus, 1758)";"Épervier d'Europe";"Accipitriformes";"Accipitridae"
;"Accipiter poliogaster (Temminck, 1824)";"Autour à ventre gris";"Accipitriformes";"Accipitridae"
;"Accipiter quartus Balouet & Olson, 1989";;"Accipitriformes";"Accipitridae"
;"Accipiter striatus Vieillot, 1807";"Épervier brun";"Accipitriformes";"Accipitridae"
;"Accipiter superciliosus (Linnaeus, 1766)";"Épervier nain";"Accipitriformes";"Accipitridae"
;"Accipiter ventralis P. L. Sclater, 1866";;"Accipitriformes";"Accipitridae"
;"Acridotheres fuscus (Wagler, 1827)";;"Passeriformes (Passereaux)";"Sturnidae (Étourneaux)"
;"Acridotheres tristis (Linnaeus, 1766)";"Merle des Moluques, Martin triste";"Passeriformes (Passereaux)";"Sturnidae (Étourneaux)"
;"Acrocephalus agricola (Jerdon, 1845)";"Rousserolle isabelle";"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus arundinaceus (Linnaeus, 1758)";"Rousserolle turdoïde";"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus astrolabii Holyoak & Thibault, 1978";"Rousserolle des Gambier, Rousserolle de Mangareva";"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus atyphus (Wetmore, 1919)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus atyphus atyphus (Wetmore, 1919)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus atyphus eremus (Wetmore, 1919)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus atyphus niauensis (Murphy & Mathews, 1929)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus atyphus palmarum (Murphy & Mathews, 1929)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus caffer (Sparrman, 1786)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus caffer caffer (Sparrman, 1786)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus dumetorum Blyth, 1849";"Rousserolle des buissons";"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus longirostris (Gmelin, 1789)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus melanopogon (Temminck, 1823)";"Lusciniole à moustaches";"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus mendanae consobrinus (Murphy & Mathews, 1928)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus mendanae dido (Murphy & Mathews, 1928)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus mendanae fatuhivae (Murphy & Mathews, 1928)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus mendanae mendanae Tristram, 1883";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus mendanae Tristram, 1883";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus musae (Forster, 1844)";"Rousserolle des îles sous le Vent, Rousserolle de Raiatea";"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus musae garretti Holyoak & Thibault, 1978";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus musae musae (Forster, 1844)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus paludicola (Vieillot, 1817)";"Phragmite aquatique";"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus palustris (Bechstein, 1798)";"Rousserolle verderolle";"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus percernis (Wetmore, 1919)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus percernis aquilonis (Murphy & Mathews, 1928)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus percernis idae (Murphy & Mathews, 1928)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus percernis percernis (Wetmore, 1919)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus percernis postremus (Murphy & Mathews, 1928)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus rimitarae (Murphy & Mathrews, 1929)";;"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus schoenobaenus (Linnaeus, 1758)";"Phragmite des joncs";"Passeriformes (Passereaux)";"Sylviidae"
;"Acrocephalus scirpaceus (Hermann, 1804)";"Rousserolle effarvatte";"Passeriformes (Passereaux)";"Sylviidae"
;"Actitis hypoleucos (Linnaeus, 1758)";"Chevalier guignette";"Charadriiformes (Limicoles)";"Scolopacidae (Bécasses)"
;"Actitis macularius (Linnaeus, 1766)";"Chevalier grivelé";"Charadriiformes (Limicoles)";"Scolopacidae (Bécasses)"
;"Aegithalos caudatus (Linnaeus, 1758)";"Mésange à longue queue";"Passeriformes (Passereaux)";"Aegithalidae"
;"Aegolius acadicus (Gmelin, 1788)";"Chouette Limard, Petite nyctale";"Strigiformes (Rapaces nocturnes (Chouettes, Hiboux))";"Strigidae"
;"Aegolius funereus (Linnaeus, 1758)";"Nyctale de Tengmalm, Chouette de Tengmalm";"Strigiformes (Rapaces nocturnes (Chouettes, Hiboux))";"Strigidae"
;"Aegotheles savesi E. L. Layard & E. L. C. Layard, 1881";"Egothèle calédonien";"Caprimulgiformes";"Aegothelidae"
;"Aegypius monachus (Linnaeus, 1766)";"Vautour moine";"Accipitriformes";"Accipitridae"
;"Aerodramus francicus (Gmelin, 1789)";"Salangane des Mascareignes";"Caprimulgiformes";"Apodidae"
;"Aerodramus leucophaeus (Peale, 1848)";;"Caprimulgiformes";"Apodidae"
;"Aerodramus ocistus (Oberholser, 1906)";;"Caprimulgiformes";"Apodidae"
;"Aerodramus ocistus gilliardi (Somadikarta, 1994)";;"Caprimulgiformes";"Apodidae"
;"Aerodramus ocistus ocistus (Oberholser, 1906)";;"Caprimulgiformes";"Apodidae"
;"Aerodramus spodiopygius (Peale, 1848)";"Salangane à croupion blanc";"Caprimulgiformes";"Apodidae"
;"Aerodramus spodiopygius leucopygius (Wallace, 1864)";"Salangane à croupion blanc";"Caprimulgiformes";"Apodidae"
;"Aerodramus vanikorensis (Quoy & Gaimard, 1830)";"Salangane de Vanikoro";"Caprimulgiformes";"Apodidae"
;"Aeronautes montivagus (d'Orbigny & Lafresnaye, 1837)";"Martinet montagnard";"Caprimulgiformes";"Apodidae"
;"Aeronautes montivagus tatei (Chapman, 1929)";;"Caprimulgiformes";"Apodidae"
;"Agamia agami (Gmelin, 1789)";"Héron agami, Onoré agami";"Pelecaniformes";"Ardeidae (Hérons)"
;"Agapornis canus (J. F. Gmelin, 1788)";"Inséparable à tête grise";"Psittaciformes (Perroquets, perruches)";"Psittacidae"
;"Agapornis fischeri Reichenow, 1887";"Inséparable de Fischer";"Psittaciformes (Perroquets, perruches)";"Psittacidae"
;"Agapornis personatus Reichenow, 1887";"Inséparable masqué";"Psittaciformes (Perroquets, perruches)";"Psittacidae"
;"Agapornis pullarius (Linnaeus, 1758)";"Inséparable à tête rouge";"Psittaciformes (Perroquets, perruches)";"Psittacidae"
;"Agelaius phoeniceus (Linnaeus, 1766)";"Carouge à épaulettes";"Passeriformes (Passereaux)";"Icteridae"
;"Agelasticus cyanopus (Vieillot, 1819)";"Carouge unicolore";"Passeriformes (Passereaux)";"Icteridae"
;"Aix galericulata (Linnaeus, 1758)";"Canard mandarin";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Aix sponsa (Linnaeus, 1758)";"Canard carolin, Canard branchu";"Anseriformes (Canards, Oies, Cygnes)";"Anatidae"
;"Alauda arvensis Linnaeus, 1758";"Alouette des champs";"Passeriformes (Passereaux)";"Alaudidae"
;"Alca torda Linnaeus, 1758";"Petit pingouin, Pingouin torda";"Charadriiformes (Limicoles)";"Alcidae (Macareux, Guillemots, Pingouins)"
;"Alcedo atthis (Linnaeus, 1758)";"Martin-pêcheur d'Europe";"Coraciiformes (Guêpiers)";"Alcedinidae"
